,0
0,"1+1
Intouchables, 2011"
1,"Побег из Шоушенка
The Shawshank Redemption, 1994"
2,"Зеленая миля
The Green Mile, 1999"
3,"Титаник (1997)
Titanic"
4,"Бойцовский клуб
Fight Club, 1999"
5,"Форрест Гамп
Forrest Gump, 1994"
6,"Интерстеллар
Interstellar, 2014"
7,"Остров проклятых
Shutter Island, 2009"
8,"Властелин колец: Братство Кольца
The Lord of the Rings: The Fellowship of the Ring, 2001"
9,"Леон
Léon, 1994"
10,"Терминатор 2: Судный день
Terminator 2: Judgment Day, 1991"
11,"Начало
Inception, 2010"
12,"Достучаться до небес
Knockin' on Heaven's Door, 1997"
13,"Криминальное чтиво
Pulp Fiction, 1994"
14,"Назад в будущее
Back to the Future, 1985"
15,"Большой куш
Snatch, 2000"
16,"Поймай меня, если сможешь
Catch Me If You Can, 2002"
17,"Карты, деньги, два ствола
Lock, Stock and Two Smoking Barrels, 1998"
18,"Одержимость
Whiplash, 2013"
19,"Отступники
The Departed, 2006"
20,"Джанго освобожденный
Django Unchained, 2012"
21,"Пираты Карибского моря: Проклятие Черной жемчужины
Pirates of the Caribbean: The Curse of the Black Pearl, 2003"
22,"Семь
Se7en, 1995"
23,"Бесславные ублюдки
Inglourious Basterds, 2009"
24,"Трасса 60
Interstate 60, 2001"
25,"Пятый элемент
The Fifth Element, 1997"
26,"Паразиты
Gisaengchung, 2019"
27,"Омерзительная восьмерка
The Hateful Eight, 2015"
28,"Достать ножи
Knives Out, 2019"
29,"Шоу Трумана
The Truman Show, 1998"
30,"Люди в чёрном
Men in Black, 1997"
31,"Игры разума
A Beautiful Mind, 2001"
32,"Один дома
Home Alone, 1990"
33,"Безумный Макс: Дорога ярости
Mad Max: Fury Road, 2015"
34,"Молчание ягнят
The Silence of the Lambs, 1990"
35,"Ла-Ла Ленд
La La Land, 2016"
36,"Чужой
Alien, 1979"
37,"Аватар
Avatar, 2009"
